dataset,metric_scope,budget,admission_fraction_requested,throttle_percent,opportunities,targets,repetitions,authoritative_priority_contract,requested_candidates,requested_candidates_min,requested_candidates_max,admitted_candidates,admitted_candidates_min,admitted_candidates_max,admission_ratio,admission_ratio_min,admission_ratio_max,target_hits,target_hits_min,target_hits_max,target_recall,target_recall_min,target_recall_max,decision_hit_rate,decision_hit_rate_min,decision_hit_rate_max,useful_candidate_fraction,useful_candidate_fraction_min,useful_candidate_fraction_max,saved_stall_s,saved_stall_s_min,saved_stall_s_max,stall_reduction,stall_reduction_min,stall_reduction_max,retained_fraction_of_unthrottled_hits
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,1,1.0,0.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,34.0,34.0,34.0,34.0,34.0,34.0,1.0,1.0,1.0,17.0,17.0,17.0,0.19318181818181818,0.19318181818181818,0.19318181818181818,0.5,0.5,0.5,0.5,0.5,0.5,9.041666056050195,9.041666056050195,9.041666056050195,0.23476532741652686,0.23476532741652686,0.23476532741652686,1.0
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,1,0.5,50.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,34.0,34.0,34.0,17.0,17.0,17.0,0.5,0.5,0.5,8.67,5.0,12.0,0.09852272727272726,0.056818181818181816,0.13636363636363635,0.255,0.14705882352941177,0.35294117647058826,0.51,0.29411764705882354,0.7058823529411765,4.645704444607099,0.7958432793617248,8.772010482682122,0.12062492888562229,0.020663935926562665,0.22776376613578414,0.51
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,1,0.25,75.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,34.0,34.0,34.0,8.0,8.0,8.0,0.2352941176470588,0.23529411764705882,0.23529411764705882,4.1,1.0,7.0,0.04659090909090909,0.011363636363636364,0.07954545454545454,0.12058823529411765,0.029411764705882353,0.20588235294117646,0.5125,0.125,0.875,2.195924920386738,0.0,5.348181025187174,0.057016818551016986,0.0,0.1388646142953671,0.2411764705882353
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,1,0.1,90.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,34.0,34.0,34.0,3.0,3.0,3.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,1.53,0.0,3.0,0.017386363636363634,0.0,0.03409090909090909,0.045,0.0,0.08823529411764706,0.51,0.0,1.0,0.778414042101966,0.0,3.8060027758280435,0.02021138873376189,0.0,0.0988222173077922,0.08999999999999998
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,1,0.0,100.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,3,1.0,0.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,102.0,102.0,102.0,102.0,102.0,102.0,1.0,1.0,1.0,38.0,38.0,38.0,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.37254901960784315,0.37254901960784315,0.37254901960784315,16.2205779393514,16.2205779393514,16.2205779393514,0.42116455830272526,0.42116455830272526,0.42116455830272526,1.0
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,3,0.5,50.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,102.0,102.0,102.0,51.0,51.0,51.0,0.5,0.5,0.5,24.04,20.0,29.0,0.2731818181818182,0.22727272727272727,0.32954545454545453,0.6041176470588235,0.5,0.6764705882352942,0.4713725490196078,0.39215686274509803,0.5686274509803921,11.653059594392776,9.07441494597329,14.270800609058803,0.30256971824914,0.2356156467954624,0.3705389202291792,0.6326315789473684
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,3,0.25,75.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,102.0,102.0,102.0,25.0,25.0,25.0,0.24509803921568626,0.24509803921568626,0.24509803921568626,12.43,9.0,15.0,0.14125,0.10227272727272728,0.17045454545454544,0.36558823529411766,0.2647058823529412,0.4411764705882353,0.4972,0.36,0.6,6.793051763508055,3.0632742179764643,9.036335541142357,0.17638043824348584,0.07953739612719198,0.2346269214999757,0.3271052631578947
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,3,0.1,90.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,102.0,102.0,102.0,10.0,10.0,10.0,0.09803921568627452,0.09803921568627451,0.09803921568627451,5.13,1.0,9.0,0.05829545454545454,0.011363636363636364,0.10227272727272728,0.15088235294117647,0.029411764705882353,0.2647058823529412,0.513,0.1,0.9,2.816569571018219,0.0,7.120658951335484,0.0731317517626143,0.0,0.18488670337620988,0.13499999999999998
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,3,0.0,100.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,5,1.0,0.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,170.0,170.0,170.0,170.0,170.0,170.0,1.0,1.0,1.0,49.0,49.0,49.0,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.28823529411764703,0.28823529411764703,0.28823529411764703,18.866207799646585,18.866207799646585,18.866207799646585,0.48985788943493747,0.48985788943493747,0.48985788943493747,1.0
qwen_url_exact_heldout,exact URL invocation / authoritative URL target,5,0.5,50.0,34,88,100,speculation consumes only the stated residual admission quota; authoritative work is not charged to it,170.0,170.0,170.0,85.0,85.0,85.0,0.5,0.5,0.5,34.62,32.0,37.0,0.39340909090909093,0.36363636363636365,0.42045454545454547,0.7217647058823531,0.7058823529411765,0.7352941176470589,0.4072941176470588,0.3764705882352941,0.43529411764705883,15.279836878114276,14.319342488712735,16.2153328259786,0.3967383760165833,0.37179930191102023,0.42102836982256364,0.7065306122448981
